Sample,Folder Name,Wasabi,Batch,Organ,State,Tissue type,Slide ID,Run location,Assay,Panel,#,Slide prepared,Run start date,H&E image (.svs),H&E same-slide (.svs),#HE,Fiducial Concentration (%),Pre-hybridization storage time,Hybridization Duration (h.min),Optional pre-run ON at 4°C,Pre-bleaching profile,Cell segmentation profile,Slide preparation manual,Instrument user manual,Instrument software
61,SAHA_CP_APE_A9_TAP03,,TAP03,Appendix,Normal,APE,APE_A9,TAP,CosMx Protein,IO Protein (64-plex),6,06/23/2023,09/10/2023,SAHA_HE_APE_A9_TAP03,N/A,4,,,,,,,,,
62,SAHA_CP_ILE_A1_TAP03,,TAP03,Ileum,Normal,ILE,ILE_A1,TAP,CosMx Protein,IO Protein (64-plex),6,06/23/2023,09/10/2023,SAHA_HE_ILE_A1_TAP03,N/A,4,,,,,,,,,
63,SAHA_CP_COL_A1_SJ01,Y,SJJP01,Colon,Normal,COL,COL_A1,St.Jude,CosMx Protein,IO Protein (64-plex),13,12/19/2023,02/08/2024,SAHA_HE_COL_A1_SJ01,SAHA_HECP_COL_A1_SJ01,12,0.00005,N/A,17,NO,C,A,MAN-10185-01,MAN-10161-02-1,Sofware version 1.2
64,SAHA_CP_APE_A9_SJ01,Y,SJJP01,Appendix,Normal,APE,APE_A9,St.Jude,CosMx Protein,IO Protein (64-plex),14,12/19/2023,02/08/2024,SAHA_HE_APE_A9_SJ01,SAHA_HECP_APE_A9_SJ01,13,0.00005,N/A,17,NO,C,A,MAN-10185-01,MAN-10161-02-1,Sofware version 1.2
65,SAHA_CP_ILE_A1_SJ01,Y,SJJP01,Ileum,Normal,ILE,ILE_A1,St.Jude,CosMx Protein,IO Protein (64-plex),14,12/19/2023,02/08/2024,SAHA_HE_ILE_A1_SJ01,SAHA_HECP_ILE_A1_SJ01,13,0.00005,N/A,17,NO,C,A,MAN-10185-01,MAN-10161-02-1,Sofware version 1.2
66,SAHA_CP_PANC_A1_SJ01,Y,SJJP01,Pancreas,Normal,PANC,PANC_A1,St.Jude,CosMx Protein,IO Protein (64-plex),8,01/31/2024,02/24/2024,SAHA_HE_PANC_A1_EC02,SAHA_HECP_PANC_A1_SJ01,3,0.00005,N/A,17,NO,C,A,MAN-10185-01,MAN-10161-02-1,Sofware version 1.2
67,SAHA_CP_COL_A1_EC02,Y,EC02,Colon,Normal,COL,COL_A1,WCM,CosMx Protein,IO Protein (64-plex),19,02/22/2024,03/01/2024,SAHA_HE_COL_A1_EC02,SAHA_HECP_COL_A1_EC02,17,0.00005,N/A,18,YES,C,A,MAN-10185-01-1,MAN-10161-03-2,Sofware version 1.2
68,SAHA_CP_PANC_A1_EC02,Y,EC02,Pancreas,Normal,PANC,PANC_A1,WCM,CosMx Protein,IO Protein (64-plex),15,02/22/2024,03/01/2024,SAHA_HE_PANC_A1_EC02,SAHA_HECP_PANC_A1_EC02,N/A,0.00005,N/A,18,YES,C,A,MAN-10185-01-1,MAN-10161-03-2,Sofware version 1.2
69,SAHA_CP_PDAC_RC_EC02,Y,EC02,Pancreas,Cancer,PDAC,PANC_CA,WCM,CosMx Protein,IO Protein (64-plex),8,02/22/2024,03/01/2024,SAHA_HE_PDAC_RC_EC02,SAHA_HECP_PDAC_RC_EC02,3,0.00005,N/A,18,YES,C,A,MAN-10185-01-1,MAN-10161-03-2,Sofware version 1.2
70,SAHA_CP_STO_A1_EC03,Y,EC03,Stomach,Normal,STO,STO_A1,WCM,CosMx Protein,IO Protein (64-plex),1,04/30/2024,05/17/2024,SAHA_HE_STO_A1_EC03,N/A,3,0.00005,N/A,18.3,YES,C,A,MAN-10185-01-1,MAN-10161-05,Software version 1.3
71,SAHA_CP_LN_A1_EC03,Y,EC03,Lymph Node,Normal,LN,LN_A1,WCM,CosMx Protein,IO Protein (64-plex),5,04/30/2024,05/17/2024,SAHA_HE_LN_A1_EC03,N/A,3,0.00005,N/A,18.3,YES,C,A,MAN-10185-01-1,MAN-10161-05,Software version 1.3CLAUDE.md
CLAUDE.md
